name,type,start_p50,mid_p50,mid_p10,mid_p25,mid_p75,mid_p90,Ranked on Forbes
Oklahoma State University,State,less than national average,80700.0,40100.0,56500.0,114000.0,151000.0,False
University of North Dakota,State,less than national average,80600.0,43400.0,56400.0,111000.0,157000.0,False
"California State University, Northridge (CSUN)",State,less than national average,80400.0,44500.0,57800.0,108000.0,153000.0,False
University of Houston (UH),State,less than national average,79900.0,42000.0,56200.0,106000.0,141000.0,False
University of Mississippi,State,less than national average,79700.0,40400.0,53500.0,108000.0,186000.0,False
New Mexico State University,State,less than national average,79500.0,37400.0,53800.0,102000.0,131000.0,False
Lamar University,State,less than national average,79400.0,38700.0,51600.0,114000.0,158000.0,False
Mississippi State University (MSU),State,less than national average,79300.0,43300.0,58800.0,108000.0,151000.0,False
Colorado State University (CSU),State,less than national average,79000.0,43800.0,57100.0,112000.0,150000.0,False
Kansas State University (KSU),State,less than national average,79000.0,37200.0,54100.0,106000.0,138000.0,False
University of Wyoming (UW),State,less than national average,78700.0,41500.0,54000.0,105000.0,145000.0,False
Utah State University,State,less than national average,78700.0,41600.0,55400.0,101000.0,132000.0,False
University of Wisconsin (UW) - Platteville,State,less than national average,78500.0,48400.0,61200.0,100000.0,139000.0,False
University of Oregon,State,less than national average,78400.0,38100.0,56200.0,117000.0,186000.0,False
University of Kentucky (UK),State,less than national average,78300.0,43000.0,57300.0,107000.0,149000.0,False
University of New Hampshire (UNH),State,less than national average,78300.0,41700.0,56400.0,114000.0,147000.0,False
University of Massachusetts (UMass) - Boston,State,less than national average,78200.0,36300.0,53800.0,109000.0,151000.0,False
West Virginia University (WVU),State,less than national average,78100.0,39700.0,55700.0,106000.0,141000.0,False
University of Maryland Baltimore County (UMBC),State,less than national average,77800.0,46900.0,59100.0,105000.0,130000.0,False
North Dakota State University (NDSU),State,less than national average,77800.0,39000.0,55800.0,100000.0,123000.0,False
State University of New York (SUNY) at Oswego,State,less than national average,77800.0,40400.0,53000.0,115000.0,169000.0,False
University of Massachusetts (UMass) - Dartmouth,State,less than national average,77700.0,43300.0,56200.0,107000.0,132000.0,False
Montana State University - Bozeman,State,less than national average,77500.0,40200.0,58100.0,111000.0,151000.0,False
State University of New York (SUNY) at Oneonta,State,less than national average,76700.0,40000.0,54300.0,97700.0,155000.0,False
University of Louisiana (UL) at Lafayette,State,less than national average,76300.0,42000.0,54500.0,107000.0,163000.0,False
State University of New York (SUNY) at Plattsburgh,State,less than national average,76200.0,38400.0,54100.0,105000.0,136000.0,False
Wayne State University,State,less than national average,76100.0,40100.0,56200.0,101000.0,139000.0,False
University of Hawaii,State,less than national average,76000.0,40400.0,56300.0,104000.0,128000.0,False
University of Toledo,State,less than national average,75900.0,40100.0,54100.0,100000.0,133000.0,False
Florida International University (FIU),State,less than national average,75500.0,40500.0,55800.0,98200.0,136000.0,False
University of Wisconsin (UW) - Whitewater,State,less than national average,75500.0,38200.0,53500.0,99300.0,150000.0,False
Western Washington University,State,less than national average,75400.0,41300.0,56700.0,99200.0,119000.0,False
Minnesota State University - Mankato,State,less than national average,74700.0,39500.0,53800.0,95700.0,140000.0,False
University of Tennessee,State,less than national average,74600.0,41900.0,53200.0,106000.0,153000.0,False
University of Wisconsin (UW) - Milwaukee,State,less than national average,74600.0,40600.0,54000.0,93700.0,123000.0,False
